project,field,type,method,category
iosched,0,0,8,Application
muzei,0,5,0,Application
k-9,2,0,12,Application
actor-platform,0,0,14,Application
Android-PullToRefresh,2,0,12,Non-web libraries and frameworks
picasso,0,0,10,Non-web libraries and frameworks
android-volley,0,0,8,Non-web libraries and frameworks
zxing,0,0,5,Non-web libraries and frameworks
guice,0,3,2,Non-web libraries and frameworks
facebook-android-sdk,0,0,3,Non-web libraries and frameworks
Bolts-Android,0,0,2,Non-web libraries and frameworks
androidquery,0,0,2,Non-web libraries and frameworks
h2o-2,0,0,2,Non-web libraries and frameworks
Calligraphy,0,0,1,Non-web libraries and frameworks
ListViewAnimations,0,0,1,Non-web libraries and frameworks
jsoup,0,0,1,Non-web libraries and frameworks
jna,0,0,9,Non-web libraries and frameworks
fresco,0,0,4,Non-web libraries and frameworks
junit,0,13,33,Non-web libraries and frameworks
libgdx,3,1,17,Non-web libraries and frameworks
MaterialEditText,0,0,6,Non-web libraries and frameworks
stetho,0,0,2,Non-web libraries and frameworks
neo4j,7,55,104,Non-web libraries and frameworks
guava,0,8,77,Non-web libraries and frameworks
acra,0,0,1,Non-web libraries and frameworks
dubbo,0,1,34,Non-web libraries and frameworks
processing,4,0,5,Non-web libraries and frameworks
gocd,1,5,37,Non-web libraries and frameworks
MaterialDrawer,0,0,1,Non-web libraries and frameworks
HikariCP,0,0,1,Non-web libraries and frameworks
robospice,0,1,0,Non-web libraries and frameworks
roboguice,0,3,2,Non-web libraries and frameworks
HoloEverywhere,0,0,4,Non-web libraries and frameworks
PhotoView,0,0,3,Non-web libraries and frameworks
UltimateRecyclerView,0,0,1,Non-web libraries and frameworks
druid,0,0,1,Non-web libraries and frameworks
netty,13,6,70,Software tools
spring-boot,14,2,8,Software tools
OpenRefine,0,0,3,Software tools
Hystrix,0,0,6,Software tools
RxJava,0,0,4,System Software
j2objc,4,12,132,System Software
gradle,0,36,11,System Software
atmosphere,0,0,8,System Software
orientdb,0,3,13,System Software
kotlin,0,2,1,System Software
cassandra,2,3,5,System Software
titan,0,1,0,System Software
glide,1,0,7,Web libraries and frameworks
okhttp,0,0,3,Web libraries and frameworks
spring-framework,5,44,63,Web libraries and frameworks
commons-io,6,4,44,Non-web libraries and frameworks
Koloboke,0,16,27,Non-web libraries and frameworks
parseq,0,5,27,Web libraries and frameworks
commons-lang,11,0,21,Non-web libraries and frameworks
zt-exec,0,0,23,Non-web libraries and frameworks
WeatherLib,0,1,19,Non-web libraries and frameworks
truth,0,0,20,Non-web libraries and frameworks
jogl,0,0,20,Non-web libraries and frameworks
StartupNews,2,0,14,Non-web libraries and frameworks
chipKIT32-MAX,4,0,12,Software tools
raven-java,0,0,15,Software tools
minimal-json,3,0,12,Non-web libraries and frameworks
jgit,0,8,7,Non-web libraries and frameworks
Android-Universal-Image-Loader,0,0,14,Non-web libraries and frameworks
quickblox-android-sdk,2,0,12,Application
jgraphx,0,0,14,Non-web libraries and frameworks
adblockplusandroid,0,0,12,Application
Carbon,0,3,9,Non-web libraries and frameworks
mcpatcher,0,0,11,Application
spring-batch,0,5,6,Non-web libraries and frameworks
overthere,0,5,5,Non-web libraries and frameworks
CrossBow,0,0,8,Web libraries and frameworks
javaewah,0,0,8,Non-web libraries and frameworks
zoie,0,0,8,System Software
ideavim,0,0,8,Software tools
jcabi-aspects,0,0,7,Non-web libraries and frameworks
webmagic,0,1,6,Web libraries and frameworks
osmdroid,0,4,2,Non-web libraries and frameworks
elephant-bird,0,5,1,Non-web libraries and frameworks
nifty,0,1,5,Non-web libraries and frameworks
bobo,0,0,6,System Software
st-js,0,0,6,Software tools
android-maven-plugin,3,3,0,Software tools
logback,0,0,6,Non-web libraries and frameworks
GLWallpaperService,0,5,0,Non-web libraries and frameworks
CLAVIN,0,2,3,Non-web libraries and frameworks
Yaaic,0,0,5,Application
feign,0,0,5,Web libraries and frameworks
NotePad,0,0,5,Application
xssValidator,0,1,3,Application
photup,1,0,3,Application
red5-server,0,0,4,System Software
selendroid,0,4,0,Non-web libraries and frameworks
jbox2d,0,0,4,Non-web libraries and frameworks
caffeine,0,0,4,Non-web libraries and frameworks
functionaljava,0,0,4,Non-web libraries and frameworks
spring-security,0,3,1,Non-web libraries and frameworks
Jnario,0,0,4,Non-web libraries and frameworks
ErrorView,0,0,3,Non-web libraries and frameworks
tape,0,1,2,Non-web libraries and frameworks
java-apns,0,1,2,Web libraries and frameworks
karyon,1,1,1,Non-web libraries and frameworks
asynchbase,0,0,3,Non-web libraries and frameworks
parboiled,0,0,3,Software tools
spock,0,0,3,Non-web libraries and frameworks
Android-Next,0,0,3,Non-web libraries and frameworks
jolokia,0,0,3,Web libraries and frameworks
httl,0,3,0,Software tools
twitter4j,0,1,2,Non-web libraries and frameworks
carrot2,1,1,1,Application
fabric8,0,0,3,Application
FBReaderJ,0,0,3,Application
telescope,0,0,2,Application
play-pac4j,0,2,0,Web libraries and frameworks
WizarDroid,0,0,2,Non-web libraries and frameworks
spring-elasticsearch,0,0,2,Non-web libraries and frameworks
hibernate-memcached,0,2,0,Non-web libraries and frameworks
restcountries,0,0,2,Non-web libraries and frameworks
snappy,0,2,0,Non-web libraries and frameworks
changeloglib,0,0,2,Non-web libraries and frameworks
obd-java-api,0,0,2,Non-web libraries and frameworks
spring,0,0,2,Non-web libraries and frameworks
fixture-factory,0,0,2,Software tools
java-api-wrapper,0,0,2,Non-web libraries and frameworks
