project;url;stars;whatchers;contributors;forks;size;releases;NOF;branches;duration;avgTime;commits;files_contributor;APIs_contributor ;quantFields_last;quantElements_last;quantFieldsDeprecated_last;quantFieldsDeprecatedWithRelMessage_last;quantTypes_last;quantTypesDeprecated_last;quantTypesDeprecatedWithRelMessage_last;quantMethods_last;quantMethodsDeprecated_last;quantMethodsDeprecatedWithRelMessage_last;quantElements_last;quantElementsDeprecated_last;quantElementsDeprecatedWithRelMessage_last;perc_quantElementsDeprecatedWithRelMessage_last;perc_quantElementsDeprecated_last;avgPopularity;avgSize;avgCommunity;avgActivity;avgMaturity;avgAll;category
iosched;git://github.com/google/iosched.git;7720;961;25;2974;24439;3;1012;2;933;311;128;40.48;221.28;1101;5532;0;0;728;0;0;3703;8;8;5532;8;8;100;0.1446131598;2920;72.273.333.333.333;955.866.666.667;130.88;933;2261.36;Application
muzei;git://github.com/romannurik/muzei.git;1874;155;8;464;15815;8;335;3;560;70;195;41875;161.75;170;1294;0;0;161;5;5;963;0;0;1294;5;5;100;0.3863987635;625.25;289.926.666.666.667;705.416.666.667;1.018.125;560;60.700.541.666.667;Application
k-9;git://github.com/k9mail/k-9.git;2018;274;200;1239;84435;329;1249;37;2488;75.623.100.304;5740;6245;34.3;858;6860;3;2;609;2;0;5393;13;12;6860;18;14;777.777.777.778;0.2623906706;932.75;895.326.666.666.667;801.816.666.667;202.725;2488;186.107.741.666.667;Application
actor-platform;git://github.com/actorapp/actor-platform.git;1826;132;13;266;258198;35;3540;2;308;8.8;3115;2.723.076.923.077;9.211.538.461.538;648;11975;0;0;1472;3;0;9855;20;14;11975;23;14;608.695.652.174;0.1920668058;559.25;5460;4.021.538.461.538;5.967.307.692.308;308;14.652.269.230.769;Application
Android-PullToRefresh;git://github.com/chrisbanes/Android-PullToRefresh.git;5435;895;21;3760;4277;24;128;3;431;179.583.333.333;477;60.952.380.952;25;46;525;2;2;66;0;0;413;12;12;525;14;14;100;26.666.666.667;2527.75;63.486.666.666.667;173.650.793.651;155.476.190.476;431;18.680.658.730.159;Non-web libraries and frameworks
picasso;git://github.com/square/picasso.git;6948;648;58;1935;18355;20;166;60;891;44.55;861;28.620.689.655;235.172.413.793;272;1364;0;0;111;0;0;981;10;10;1364;10;10;100;0.7331378299;2397.25;11.443.333.333.333;281.264.367.816;131.896.551.724;891;8.947.798.850.575;Non-web libraries and frameworks
android-volley;git://github.com/mcxiaoke/android-volley.git;2361;274;26;947;1971;19;98;2;1018;535.789.473.684;1919;37.692.307.692;289.230.769.231;68;752;0;0;115;0;0;569;8;8;752;8;8;100;10.638.297.872;902;92093;195.641.025.641;163.461.538.462;1018;188.097.820.512.821;Non-web libraries and frameworks
zxing;git://github.com/zxing/zxing.git;5827;769;42;3709;272514;17;3013;4;2858;1.681.176.470.588;3140;717.380.952.381;852.619.047.619;226;3581;0;0;497;0;0;2858;5;5;3581;5;5;100;0.1396258028;2586.75;22630;663.333.333.333;78.5;2858;56.439.166.666.667;Non-web libraries and frameworks
guice;git://github.com/google/guice.git;2076;241;18;355;63618;23;691;4;3240;1.408.695.652.174;1442;383.888.888.889;5.181.111.111.111;833;9326;0;0;1612;3;3;6881;2;2;9326;5;5;100;0.0536135535;672.5;100.756.666.666.667;191.5;278.25;3240;28.915.833.333.333;Non-web libraries and frameworks
facebook-android-sdk;git://github.com/facebook/facebook-android-sdk.git;3408;458;28;2019;20215;42;686;4;1919;456.904.761.905;535;24.5;1.724.642.857.143;650;4829;0;0;457;0;0;3722;3;3;4829;3;3;100;0.0621246635;1478.25;19.596.666.666.667;749.880.952.381;984.821.428.571;1919;11.060.773.809.524;Non-web libraries and frameworks
Bolts-Android;git://github.com/BoltsFramework/Bolts-Android.git;1979;170;12;281;1005;8;45;4;562;70.25;137;3.75;336.666.666.667;16;404;0;0;27;0;0;361;2;2;404;2;2;100;0.495049505;610.5;59.193.333.333.333;164.722.222.222;187.083.333.333;562;14.254.027.777.778;Non-web libraries and frameworks
androidquery;git://github.com/androidquery/androidquery.git;1769;218;6;576;17080;21;274;3;1048;499.047.619.048;692;456.666.666.667;2.796.666.666.667;182;1678;0;0;101;0;0;1395;2;2;1678;2;2;100;0.1191895113;642.25;260.000.666.666.667;1.104.444.444.444;1.626.666.666.667;1048;523.928.055.555.555;Non-web libraries and frameworks
h2o-2;git://github.com/h2oai/h2o-2.git;1768;368;47;425;774634;324;3690;119;856;26.419.753.086;16169;785.106.382.979;3.107.659.574.468;3772;14606;0;0;1423;0;0;9411;2;2;14606;2;2;100;0.0136930029;652;57.333.333.333.333;1.454.255.319.149;1.946.382.978.723;856;15.162.794.326.241;Non-web libraries and frameworks
Calligraphy;git://github.com/chrisjenx/Calligraphy.git;2386;139;24;308;2537;4;57;8;573;143.25;241;2375;49.583.333.333;3;119;0;0;18;0;0;98;1;1;119;1;1;100;0.8403361345;714.25;80.943.333.333.333;104.444.444.444;36.666.666.667;573;18.791.388.888.889;Non-web libraries and frameworks
ListViewAnimations;git://github.com/nhaarman/ListViewAnimations.git;4082;428;14;1474;23973;25;191;7;755;30.2;608;136.428.571.429;609.285.714.286;15;853;0;0;124;0;0;714;1;1;853;1;1;100;0.1172332943;1499.5;19.903.333.333.333;295.238.095.238;372.857.142.857;755;8.623.285.714.286;Non-web libraries and frameworks
jsoup;git://github.com/jhy/jsoup.git;2133;216;40;728;5010;28;108;2;2023;72.25;852;2.7;48775;57;1951;0;0;151;0;0;1743;1;1;1951;1;1;100;0.0512557663;779.25;765.253.333.333.333;304.916.666.667;257.375;2023;158.767.625;Non-web libraries and frameworks
jna;git://github.com/java-native-access/jna.git;1838;197;67;532;226232;36;1393;9;6167;1.713.055.555.556;2783;207.910.447.761;2.736.567.164.179;11253;18335;0;0;1306;0;0;5776;10;9;18335;10;9;90;0.0545404963;658.5;11336;1.204.825.870.647;147.223.880.597;6167;36.858.412.935.323;Non-web libraries and frameworks
fresco;git://github.com/facebook/fresco.git;5726;582;13;1521;15026;10;647;3;137;13.7;308;497.692.307.692;394;393;5122;0;0;557;0;0;4172;5;4;5122;5;4;80;0.0976181179;1960.5;116.513.333.333.333;1.522.564.102.564;2.218.846.153.846;137;28.245.948.717.949;Non-web libraries and frameworks
junit;git://github.com/junit-team/junit.git;3822;479;200;1546;29350;20;482;7;5363;268.15;2066;2.41;25705;325;5141;0;0;1047;16;13;3769;43;33;5141;59;46;779.661.016.949;11.476.366.466;1511.75;339.453.666.666.667;760.383.333.333;140.575;5363;692.837.025;Non-web libraries and frameworks
libgdx;git://github.com/libgdx/libgdx.git;6839;918;400;4051;1008836;29;4384;2;1994;687.586.206.897;11463;10.96;121425;8458;48570;4;3;2657;3;1;37455;20;17;48570;27;21;777.777.777.778;0.0555898703;3052;16938;1.774.616.666.667;661.925;1994;44.455.308.333.333;Non-web libraries and frameworks
MaterialEditText;git://github.com/rengwuxian/MaterialEditText.git;1948;126;13;397;2174;19;70;2;217;114.210.526.316;227;53.846.153.846;346.923.076.923;34;451;0;0;12;0;0;405;9;6;451;9;6;666.666.666.667;19.955.654.102;621;13.983.333.333.333;176.923.076.923;200.384.615.385;217;4.548.128.205.128;Non-web libraries and frameworks
stetho;git://github.com/facebook/stetho.git;3088;183;20;255;3482;4;262;4;203;50.75;263;13.1;108.4;287;2168;0;0;385;0;0;1496;3;2;2168;3;2;666.666.666.667;0.1383763838;886.5;164.925.333.333.333;471.666.666.667;60.75;203;33224.55;Non-web libraries and frameworks
neo4j;git://github.com/neo4j/neo4j.git;1885;238;200;731;482110;118;10498;17;3011;255.169.491.525;33623;52.49;264455;3323;52891;16;7;6154;96;55;43414;165;104;52891;277;166;599.277.978.339;0.5237185911;763.5;54587;172315;1.584.725;3011;117.384.575;Non-web libraries and frameworks
guava;git://github.com/google/guava.git;4438;551;31;962;109067;56;1803;6;2253;402.321.428.571;2994;581.612.903.226;14.027.419.354.839;2354;43485;0;0;3947;8;8;37184;142;77;43485;150;85;566.666.666.667;0.3449465333;1495.5;15983;4.973.010.752.688;7.304.516.129.032;2253;41.918.505.376.344;Non-web libraries and frameworks
acra;git://github.com/ACRA/acra.git;2170;254;29;625;4388;15;76;9;1931;1.287.333.333.333;606;26.206.896.552;187.931.034.483;62;545;0;0;61;0;0;422;2;1;545;2;1;50;0.3669724771;769.5;89.613.333.333.333;168.045.977.011;107.068.965.517;1931;23.378.689.655.173;Non-web libraries and frameworks
dubbo;git://github.com/alibaba/dubbo.git;2179;714;10;2283;24647;42;1692;5;1259;299.761.904.762;1799;169.2;1307.1;1447;13071;1;0;1467;3;1;10157;73;34;13071;77;35;454.545.454.545;0.5890903527;1296.5;557.047.333.333.333;4.954.333.333.333;738.15;1259;112.167.283.333.333;Non-web libraries and frameworks
processing;git://github.com/processing/processing.git;2009;282;70;589;1657048;441;1023;2;5139;116.530.612.245;10943;146.142.857.143;1.719.285.714.286;3407;12035;8;4;424;0;0;8204;13;5;12035;21;9;428.571.428.571;0.1744910677;737.5;994.613.333.333.333;855.142.857.143;932.714.285.714;5139;211.033.238.095.238;Non-web libraries and frameworks
gocd;git://github.com/gocd/gocd.git;1712;133;53;293;269579;5;16770;3;617;123.4;2401;3.164.150.943.396;6.510.754.716.981;2361;34507;1;1;3444;9;5;28702;111;37;34507;121;43;355.371.900.826;0.3506534906;547.75;186.123.333.333.333;3.401.635.220.126;4.837.452.830.189;617;4.120.198.427.673;Non-web libraries and frameworks
MaterialDrawer;git://github.com/mikepenz/MaterialDrawer.git;2316;153;21;380;21150;62;180;6;524;84.516.129.032;970;85.714.285.714;532.857.142.857;153;1119;0;0;100;0;0;866;3;1;1119;3;1;333.333.333.333;0.2680965147;717.5;5700;27.619.047.619;309.285.714.286;524;14.000.095.238.095;Non-web libraries and frameworks
HikariCP;git://github.com/brettwooldridge/HikariCP.git;1724;180;33;215;15900;50;81;8;683;13.66;1839;24.545.454.545;350.909.090.909;43;1158;0;0;93;0;0;1022;3;1;1158;3;1;333.333.333.333;0.2590673575;538;482.186.666.666.667;235.151.515.152;187.727.272.727;683;98.963.909.090.909;Non-web libraries and frameworks
