Expt,Run,Speed
1,1,8
1,2,5
1,3,14
1,4,14
1,5,14
1,6,12
1,7,11
1,8,5
1,9,5
1,10,4
1,11,4
1,12,3
1,13,3
1,14,3
1,15,2
1,16,2
1,17,2
1,18,2
1,19,2
1,20,2
1,21,2
1,22,1
1,23,1
1,24,1
1,25,1
1,26,1
1,27,1
1,28,1
1,29,1
1,30,1
1,31,1
1,32,1
1,33,1
1,34,28
1,35,55
1,36,20
1,37,77
1,38,372
1,39,24
1,40,55
1,41,22
1,42,11
1,43,38
1,44,16
1,45,13
1,46,4
1,47,4
1,48,4
1,49,22
1,50,3
1,51,8
1,52,8
1,53,10
1,54,5
1,55,7
1,56,178
1,57,113
1,58,236
1,59,2
1,60,2
1,61,2
1,62,2
1,63,22
1,64,3
1,65,26
1,66,308
1,67,29
1,68,16
1,69,9
1,70,6
1,71,1
1,72,1
1,73,1
1,74,10
1,75,7
1,76,221
1,77,13
1,78,17
1,79,6
1,80,191
1,81,29
1,82,6
1,83,4
1,84,4
1,85,2
1,86,40
1,87,15
1,88,8
1,89,9
1,90,1
1,91,1
1,92,1
1,93,1
1,94,9
1,95,2
1,96,2
1,97,2
1,98,1
1,99,3
1,100,1
1,101,1
1,102,9
1,103,6
1,104,2
1,105,5
1,106,3
1,107,1
1,108,5
1,109,2
1,110,2
1,111,1
1,112,1
1,113,2
1,114,1
1,115,1
1,116,3
1,117,6
1,118,5
2,1,14
2,2,10
2,3,8
2,4,5
2,5,5
2,6,3
2,7,2
2,8,2
2,9,2
2,10,1
2,11,1
2,12,1
2,13,9
2,14,4
2,15,46
2,16,21
2,17,6
2,18,2
2,19,166
2,20,85
2,21,1
2,22,35
2,23,9
2,24,43
2,25,1
2,26,1
2,27,1
2,28,5
2,29,4
2,30,3
2,31,1
2,32,1
2,33,54
2,34,43
2,35,32
2,36,23
2,37,20
2,38,20
2,39,20
2,40,16
2,41,15
2,42,15
2,43,14
2,44,14
2,45,12
2,46,11
2,47,10
2,48,8
2,49,7
2,50,6
2,51,6
2,52,6
2,53,6
2,54,5
2,55,5
2,56,4
2,57,4
2,58,4
2,59,4
2,60,4
2,61,4
2,62,3
2,63,3
2,64,3
2,65,3
2,66,3
2,67,3
2,68,3
2,69,2
2,70,2
2,71,2
2,72,2
2,73,2
2,74,2
2,75,2
2,76,2
