Expt,Run,Speed
1,1,8
1,2,5
1,3,14
1,4,14
1,5,14
1,6,12
1,7,11
1,8,5
1,9,5
1,10,4
1,11,4
1,12,3
1,13,3
1,14,3
1,15,2
1,16,2
1,17,2
1,18,2
1,19,2
1,20,2
1,21,2
1,22,1
1,23,1
1,24,1
1,25,1
1,26,1
1,27,1
1,28,1
1,29,1
1,30,1
1,31,1
1,32,1
1,33,1
1,34,28
1,35,20
1,36,24
1,37,22
1,38,11
1,39,38
1,40,16
1,41,13
1,42,4
1,43,4
1,44,4
1,45,22
1,46,3
1,47,8
1,48,8
1,49,10
1,50,5
1,51,7
1,52,2
1,53,2
1,54,2
1,55,2
1,56,22
1,57,3
1,58,26
1,59,29
1,60,16
1,61,9
1,62,6
1,63,1
1,64,1
1,65,1
1,66,10
1,67,7
1,68,13
1,69,17
1,70,6
1,71,29
1,72,6
1,73,4
1,74,4
1,75,2
1,76,40
1,77,15
1,78,8
1,79,9
1,80,1
1,81,1
1,82,1
1,83,1
1,84,9
1,85,2
1,86,2
1,87,2
1,88,1
1,89,3
1,90,1
1,91,1
1,92,9
1,93,6
1,94,2
1,95,5
1,96,3
1,97,1
1,98,5
1,99,2
1,100,2
1,101,1
1,102,1
1,103,2
1,104,1
1,105,1
1,106,3
1,107,6
1,108,5
1,109,14
1,110,10
1,111,8
1,112,5
1,113,5
1,114,3
1,115,2
1,116,2
1,117,2
1,118,1
1,119,1
1,120,1
1,121,9
1,122,4
1,123,46
1,124,21
1,125,6
1,126,2
1,127,1
1,128,35
1,129,9
1,130,43
1,131,1
1,132,1
1,133,1
1,134,5
1,135,4
1,136,3
1,137,1
1,138,1
1,139,43
1,140,32
1,141,23
1,142,20
1,143,20
1,144,20
1,145,16
1,146,15
1,147,15
1,148,14
1,149,14
1,150,12
1,151,11
1,152,10
1,153,8
1,154,7
1,155,6
1,156,6
1,157,6
1,158,6
1,159,5
1,160,5
1,161,4
1,162,4
1,163,4
1,164,4
1,165,4
1,166,4
1,167,3
1,168,3
1,169,3
1,170,3
1,171,3
1,172,3
1,173,3
1,174,2
1,175,2
1,176,2
1,177,2
1,178,2
1,179,2
1,180,2
1,181,2
1,182,2
1,183,2
1,184,2
1,185,2
1,186,2
1,187,2
1,188,2
1,189,2
1,190,1
1,191,1
1,192,1
1,193,1
1,194,1
