Expt,Run,Speed
1,1,5532
1,2,1294
1,3,6860
1,4,11975
1,5,2297
1,6,1375
1,7,2995
1,8,1161
1,9,3571
1,10,1105
1,11,5998
1,12,8873
1,13,10175
1,14,1298
1,15,1382
1,16,2381
1,17,4803
1,18,4916
1,19,5467
1,20,1053
1,21,1932
1,22,1966
1,23,2758
1,24,2934
1,25,2961
1,26,33619
1,27,33619
1,28,6028
1,29,7562
1,30,2295
1,31,15682
1,32,42446
1,33,42446
1,34,4972
1,35,3851
1,36,10799
1,37,1710
1,38,12495
1,39,10971
1,40,6977
1,41,1591
1,42,3662
1,43,2691
1,44,2204
1,45,15763
1,46,3877
1,47,22364
1,48,22364
1,49,12230
1,50,6104
1,51,6171
1,52,42076
1,53,42076
1,54,4956
1,55,1094
1,56,2479
1,57,2853
1,58,4065
1,59,20300
1,60,20300
1,61,44095
1,62,44095
1,63,6280
1,64,48671
1,65,48671
1,66,37428
1,67,37428
1,68,12674
1,69,1138
1,70,3690
1,71,17785
1,72,15825
1,73,14673
1,74,57352
1,75,57352
1,76,3020
1,77,9587
1,78,2129
1,79,41475
1,80,41475
1,81,21557
1,82,21557
1,83,4660
1,84,4675
1,85,8494
1,86,28394
1,87,28394
1,88,12641
1,89,2885
1,90,21467
1,91,21467
1,92,7333
1,93,7534
1,94,4886
1,95,6078
1,96,8541
1,97,12403
1,98,1119
1,99,7600
1,100,4981
1,101,58747
1,102,58747
