Expt,Run,Speed
1,1,5532
1,2,1294
1,3,6860
1,4,2297
1,5,1375
1,6,2995
1,7,1161
1,8,3571
1,9,1105
1,10,5998
1,11,8873
1,12,1298
1,13,1382
1,14,2381
1,15,4803
1,16,4916
1,17,5467
1,18,1053
1,19,1932
1,20,1966
1,21,2758
1,22,2934
1,23,2961
1,24,6028
1,25,7562
1,26,2295
1,27,4972
1,28,3851
1,29,1710
1,30,6977
1,31,1591
1,32,3662
1,33,2691
1,34,2204
1,35,3877
1,36,6104
1,37,6171
1,38,4956
1,39,1094
1,40,2479
1,41,2853
1,42,4065
1,43,6280
1,44,1138
1,45,3690
1,46,3020
1,47,9587
1,48,2129
1,49,4660
1,50,4675
1,51,8494
1,52,2885
1,53,7333
1,54,7534
1,55,4886
1,56,6078
1,57,8541
1,58,1119
1,59,7600
1,60,4981
1,61,1035
1,62,1079
1,63,1115
1,64,1119
1,65,1132
1,66,1133
1,67,1153
1,68,1158
1,69,1159
1,70,1179
1,71,1184
1,72,1185
1,73,1213
1,74,1219
1,75,1223
1,76,1258
1,77,1266
1,78,1275
1,79,1283
1,80,1296
1,81,1298
1,82,1319
1,83,1322
1,84,1322
1,85,1332
1,86,1364
1,87,1370
1,88,1371
1,89,1382
1,90,1384
1,91,1386
1,92,1406
1,93,1409
1,94,1412
1,95,1423
1,96,1454
1,97,1454
1,98,1455
1,99,1483
1,100,1490
1,101,1504
1,102,1510
1,103,1629
1,104,1641
1,105,1654
1,106,1658
1,107,1678
1,108,1715
1,109,1719
1,110,1730
1,111,1742
1,112,1746
1,113,1754
1,114,1811
1,115,1828
1,116,1876
1,117,1891
1,118,1910
1,119,1914
1,120,1951
1,121,2042
1,122,2047
1,123,2098
1,124,2126
1,125,2151
1,126,2168
1,127,2188
1,128,2208
1,129,2212
1,130,2213
1,131,2269
1,132,2308
1,133,2311
1,134,2324
1,135,2343
1,136,2346
1,137,2350
1,138,2359
1,139,2391
1,140,2399
1,141,2403
1,142,2420
1,143,2458
1,144,2470
1,145,2492
1,146,2559
1,147,2636
1,148,2648
1,149,2676
1,150,2678
1,151,2723
1,152,2733
1,153,2750
1,154,2758
1,155,2783
1,156,2799
1,157,2828
1,158,2887
1,159,2902
1,160,2927
1,161,2956
1,162,3013
1,163,3015
1,164,3021
1,165,3026
1,166,3035
1,167,3040
1,168,3083
1,169,3084
1,170,3090
1,171,3097
1,172,3119
1,173,3123
1,174,3137
1,175,3159
1,176,3195
1,177,3219
1,178,3268
1,179,3278
1,180,3293
1,181,3339
1,182,3355
1,183,3431
1,184,3449
1,185,3467
1,186,3483
1,187,3495
1,188,3508
1,189,3516
1,190,3526
1,191,3535
1,192,3559
1,193,3560
1,194,3566
1,195,3581
1,196,3581
1,197,3639
1,198,3662
1,199,3663
1,200,3681
1,201,3730
1,202,3755
1,203,3826
1,204,3827
1,205,3828
1,206,3941
1,207,3951
1,208,3951
1,209,3966
1,210,3967
1,211,3973
1,212,4000
1,213,4045
1,214,4070
1,215,4079
1,216,4140
1,217,4153
1,218,4161
1,219,4200
1,220,4209
1,221,4232
1,222,4335
1,223,4380
1,224,4416
1,225,4457
1,226,4474
1,227,4504
1,228,4514
1,229,4606
1,230,4615
1,231,4705
1,232,4712
1,233,4756
1,234,4791
1,235,4829
1,236,4844
1,237,4848
1,238,4883
1,239,4934
1,240,4966
1,241,4991
1,242,4998
1,243,5024
1,244,5033
1,245,5113
1,246,5122
1,247,5141
1,248,5151
1,249,5220
1,250,5224
1,251,5253
1,252,5254
1,253,5299
1,254,5310
1,255,5335
1,256,5409
1,257,5534
1,258,5538
1,259,5555
1,260,5632
1,261,5653
1,262,5662
1,263,5695
1,264,5722
1,265,5749
1,266,5788
1,267,5833
1,268,5890
1,269,5934
1,270,5949
1,271,5980
1,272,5998
1,273,6005
1,274,6012
1,275,6164
1,276,6202
1,277,6215
1,278,6303
1,279,6404
1,280,6474
1,281,6592
1,282,6646
1,283,6702
1,284,6832
1,285,6836
1,286,6848
1,287,7023
1,288,7053
1,289,7138
1,290,7165
1,291,7182
1,292,7198
1,293,7222
1,294,7225
1,295,7335
1,296,7338
1,297,7376
1,298,7410
1,299,7430
1,300,7497
1,301,7508
1,302,7613
1,303,7615
1,304,7615
1,305,7691
1,306,7772
1,307,7988
1,308,8015
1,309,8027
1,310,8109
1,311,8126
1,312,8155
1,313,8247
1,314,8272
1,315,8448
1,316,8566
1,317,8582
1,318,8601
1,319,8615
1,320,8639
1,321,8702
1,322,8964
1,323,8964
1,324,9260
1,325,9274
1,326,9295
1,327,9326
1,328,9393
1,329,9438
1,330,9464
1,331,9599
1,332,9630
1,333,9758
1,334,9890
1,335,9929
1,336,9972

