name,rm,avgAll,category
iosched,100,2261.36,Application
muzei,100,6070.0541666667,Application
k-9,77.7777777778,18610.7741666667,Application
actor-platform,60.8695652174,1465.2269230769,Application
Android-PullToRefresh,100,1868.0658730159,Non-web libraries and frameworks
picasso,100,894.7798850575,Non-web libraries and frameworks
android-volley,100,18809.7820512821,Non-web libraries and frameworks
zxing,100,5643.9166666667,Non-web libraries and frameworks
guice,100,2891.5833333333,Non-web libraries and frameworks
facebook-android-sdk,100,1106.0773809524,Non-web libraries and frameworks
Bolts-Android,100,1425.4027777778,Non-web libraries and frameworks
androidquery,100,52392.8055555555,Non-web libraries and frameworks
h2o-2,100,1516.2794326241,Non-web libraries and frameworks
Calligraphy,100,1879.1388888889,Non-web libraries and frameworks
ListViewAnimations,100,862.3285714286,Non-web libraries and frameworks
jsoup,100,15876.7625,Non-web libraries and frameworks
jna,90,3685.8412935323,Non-web libraries and frameworks
fresco,80,2824.5948717949,Non-web libraries and frameworks
junit,77.9661016949,69283.7025,Non-web libraries and frameworks
libgdx,77.7777777778,4445.5308333333,Non-web libraries and frameworks
MaterialEditText,66.6666666667,454.8128205128,Non-web libraries and frameworks
stetho,66.6666666667,33224.55,Non-web libraries and frameworks
neo4j,59.9277978339,11738.4575,Non-web libraries and frameworks
guava,56.6666666667,4191.8505376344,Non-web libraries and frameworks
acra,50,2337.8689655173,Non-web libraries and frameworks
dubbo,45.4545454545,112167.283333333,Non-web libraries and frameworks
processing,42.8571428571,21103.3238095238,Non-web libraries and frameworks
gocd,35.5371900826,4120.198427673,Non-web libraries and frameworks
MaterialDrawer,33.3333333333,1400.0095238095,Non-web libraries and frameworks
HikariCP,33.3333333333,9896.3909090909,Non-web libraries and frameworks
robospice,25,4126.9263888889,Non-web libraries and frameworks
roboguice,16.1290322581,3413.3735294118,Non-web libraries and frameworks
HoloEverywhere,14.8148148148,3171.1678861789,Non-web libraries and frameworks
PhotoView,14.2857142857,795.480952381,Non-web libraries and frameworks
UltimateRecyclerView,8.3333333333,4021.2722222222,Non-web libraries and frameworks
druid,5,10106.1757575758,Non-web libraries and frameworks
netty,64.9635036496,7334.62,Software tools
spring-boot,55.8139534884,19728.3466666667,Software tools
OpenRefine,25,3192.3051282051,Software tools
Hystrix,14.2857142857,28974.8711538462,Software tools
RxJava,100,3013.1775,System Software
j2objc,75.1269035533,44860.7181818182,System Software
gradle,67.1428571429,17079.005,System Software
atmosphere,53.3333333333,13432.8462962963,System Software
orientdb,14.1592920354,104138.798373984,System Software
kotlin,93.75,20393.4475,System Software
cassandra,9.3457943925,10659.2425,System Software
titan,9.0909090909,3122.8678571429,System Software
glide,100,2826.2020833333,Web libraries and frameworks
okhttp,75,21982.5264840183,Web libraries and frameworks
spring-framework,68.7116564417,6628.8191666667,Web libraries and frameworks
commons-io,100,3432.7333333333,Non-web libraries and frameworks
Koloboke,100,856.8277777778,Non-web libraries and frameworks
parseq,100,2548.3555555556,Web libraries and frameworks
commons-lang,100,1555.2252873563,Non-web libraries and frameworks
zt-exec,100,2324.95,Non-web libraries and frameworks
WeatherLib,100,598.6952380952,Non-web libraries and frameworks
