project,Popularity,Size,Community,Activity,Maturity,Repl. Msg (%),category
iosched,2920,7227.3333333333,95.5866666667,130.88,933,100,Application
muzei,625.25,28992.6666666667,70.5416666667,101.8125,560,100,Application
k-9,932.75,89532.6666666667,80.1816666667,20.2725,2488,77.7777777778,Application
actor-platform,559.25,5460,402.1538461538,596.7307692308,308,60.8695652174,Application
Android-PullToRefresh,2527.75,6348.6666666667,17.3650793651,15.5476190476,431,100,Non-web libraries and frameworks
picasso,2397.25,1144.3333333333,28.1264367816,13.1896551724,891,100,Non-web libraries and frameworks
android-volley,902,92093,19.5641025641,16.3461538462,1018,100,Non-web libraries and frameworks
zxing,2586.75,22630,66.3333333333,78.5,2858,100,Non-web libraries and frameworks
guice,672.5,10075.6666666667,191.5,278.25,3240,100,Non-web libraries and frameworks
facebook-android-sdk,1478.25,1959.6666666667,74.9880952381,98.4821428571,1919,100,Non-web libraries and frameworks
Bolts-Android,610.5,5919.3333333333,16.4722222222,18.7083333333,562,100,Non-web libraries and frameworks
androidquery,642.25,260000.666666667,110.4444444444,162.6666666667,1048,100,Non-web libraries and frameworks
h2o-2,652,5733.3333333333,145.4255319149,194.6382978723,856,100,Non-web libraries and frameworks
Calligraphy,714.25,8094.3333333333,10.4444444444,3.6666666667,573,100,Non-web libraries and frameworks
ListViewAnimations,1499.5,1990.3333333333,29.5238095238,37.2857142857,755,100,Non-web libraries and frameworks
jsoup,779.25,76525.3333333333,30.4916666667,25.7375,2023,100,Non-web libraries and frameworks
jna,658.5,11336,120.4825870647,147.223880597,6167,90,Non-web libraries and frameworks
fresco,1960.5,11651.3333333333,152.2564102564,221.8846153846,137,80,Non-web libraries and frameworks
junit,1511.75,339453.666666667,76.0383333333,14.0575,5363,77.9661016949,Non-web libraries and frameworks
libgdx,3052,16938,177.4616666667,66.1925,1994,77.7777777778,Non-web libraries and frameworks
MaterialEditText,621,1398.3333333333,17.6923076923,20.0384615385,217,66.6666666667,Non-web libraries and frameworks
stetho,886.5,164925.333333333,47.1666666667,60.75,203,66.6666666667,Non-web libraries and frameworks
neo4j,763.5,54587,172.315,158.4725,3011,59.9277978339,Non-web libraries and frameworks
guava,1495.5,15983,497.3010752688,730.4516129032,2253,56.6666666667,Non-web libraries and frameworks
acra,769.5,8961.3333333333,16.8045977011,10.7068965517,1931,50,Non-web libraries and frameworks
dubbo,1296.5,557047.333333333,495.4333333333,738.15,1259,45.4545454545,Non-web libraries and frameworks
processing,737.5,99461.3333333333,85.5142857143,93.2714285714,5139,42.8571428571,Non-web libraries and frameworks
gocd,547.75,18612.3333333333,340.1635220126,483.7452830189,617,35.5371900826,Non-web libraries and frameworks
MaterialDrawer,717.5,5700,27.619047619,30.9285714286,524,33.3333333333,Non-web libraries and frameworks
HikariCP,538,48218.6666666667,23.5151515152,18.7727272727,683,33.3333333333,Non-web libraries and frameworks
robospice,821,18951,46.6527777778,57.9791666667,758,25,Non-web libraries and frameworks
roboguice,1107.75,13402,234.6470588235,343.4705882353,1979,16.1290322581,Non-web libraries and frameworks
HoloEverywhere,816.25,13909.3333333333,87.9024390244,111.3536585366,931,14.8148148148,Non-web libraries and frameworks
PhotoView,1513.25,1420.3333333333,13.9285714286,13.8928571429,1016,14.2857142857,Non-web libraries and frameworks
UltimateRecyclerView,510.25,19058,134.4444444444,198.6666666667,205,8.3333333333,Non-web libraries and frameworks
druid,991.25,48221.3333333333,123.3181818182,162.9772727273,1032,5,Non-web libraries and frameworks
netty,2157.25,31774.3333333333,109.0066666667,63.51,2569,64.9635036496,Software tools
spring-boot,1542.75,95913,100.7933333333,51.19,1034,55.8139534884,Software tools
OpenRefine,986,12858.6666666667,88.7435897436,120.1153846154,1908,25,Software tools
Hystrix,1261.25,142283.333333333,45.108974359,41.6634615385,1243,14.2857142857,Software tools
RxJava,2210.25,11499.6666666667,82.3883333333,23.5825,1250,100,System Software
j2objc,919,218493.666666667,1526.9696969697,2284.9545454546,1079,75.1269035533,System Software
gradle,1019.75,81378.3333333333,150.7766666667,126.165,2720,67.1428571429,System Software
atmosphere,777.75,64362,54.9925925926,37.4888888889,1932,53.3333333333,System Software
orientdb,674,517713.666666667,154.1300813008,190.1951219512,1962,14.1592920354,System Software
kotlin,626.75,99161.6666666667,212.7283333333,219.0925,1747,93.75,System Software
cassandra,935.25,49775.6666666667,128.9183333333,93.3775,2363,9.3457943925,System Software
titan,950.75,13108.3333333333,161.7023809524,228.5535714286,1165,9.0909090909,System Software
glide,1343,11513,123.6041666667,177.40625,974,100,Web libraries and frameworks
okhttp,1872,106418.333333333,48.3196347032,35.9794520548,1538,75,Web libraries and frameworks
spring-framework,3296.25,26854.3333333333,198.205,197.3075,2598,68.7116564417,Web libraries and frameworks
commons-io,68.5,11953,78.6666666667,110.5,4953,100,Non-web libraries and frameworks
Koloboke,113.75,2636.3333333333,402.2222222222,601.8333333333,530,100,Non-web libraries and frameworks
parseq,121,11371.6666666667,76.4444444444,108.6666666667,1064,100,Web libraries and frameworks
commons-lang,150,2632.3333333333,94.5172413793,127.275862069,4772,100,Non-web libraries and frameworks
zt-exec,54.25,10675.6666666667,32.3333333333,45.5,817,100,Non-web libraries and frameworks
WeatherLib,177,2201,57.1904761905,82.2857142857,476,100,Non-web libraries and frameworks
truth,127.25,50097.6666666667,32.8333333333,41.25,1511,100,Non-web libraries and frameworks
jogl,71,13390.3333333333,334.1333333333,486.2,4459,100,Non-web libraries and frameworks
StartupNews,102.75,1041901.33333333,478.6666666667,717.5,793,100,Non-web libraries and frameworks
chipKIT32-MAX,55.25,5181,170.4833333333,245.725,3647,100,Software tools
raven-java,66.25,1078,26.298245614,29.9473684211,1261,100,Software tools
minimal-json,87.5,15084.6666666667,61.5,89.25,879,100,Non-web libraries and frameworks
jgit,137,14582,98.0555555556,102.0833333333,2151,100,Non-web libraries and frameworks
Android-Universal-Image-Loader,3921.75,67208,23.3904761905,17.5857142857,1351,100,Non-web libraries and frameworks
quickblox-android-sdk,152.75,19139.3333333333,177.4848484848,260.7272727273,1013,100,Application
jgraphx,112.75,6702.3333333333,1129.3333333333,1693,1127,100,Non-web libraries and frameworks
adblockplusandroid,48.25,2620.3333333333,87.8095238095,128.2142857143,1228,100,Application
Carbon,257,3869,264.3333333333,395,197,100,Non-web libraries and frameworks
mcpatcher,60.25,18349.6666666667,535.6666666667,802.5,815,100,Application
spring-batch,291.25,6561.6666666667,123.8888888889,160.3333333333,3053,100,Non-web libraries and frameworks
overthere,45.25,2049.6666666667,40.125,52.1875,1642,100,Non-web libraries and frameworks
CrossBow,30.75,1541.3333333333,0,0,15,100,Web libraries and frameworks
javaewah,58.75,4216,48.303030303,66.9545454545,1781,100,Non-web libraries and frameworks
zoie,115,4326,92.7619047619,135.6428571429,1450,100,System Software
ideavim,407,3065.6666666667,69.8888888889,94.3333333333,4437,100,Software tools
jcabi-aspects,55,4101.6666666667,16.0208333333,16.03125,1177,100,Non-web libraries and frameworks
