project,name,url,stars,whatchers,contributors,forks,size,releases,NOF,branches,duration,avgTime,commits,files_contributor,APIs_contributor ,quantFields_last,quantFieldsDeprecated_last,perc_quantFieldsDeprecated_last,quantFieldsDeprecatedAnnotation_last,quantFieldsDeprecatedJavaDoc_last,quantFieldsDeprecatedWithRelMessage_last,perc_quantFieldsDeprecatedWithRelMessage_last,quantUserFields_last,quantReplaceFields_last,quantReferFields_last,quantEquivalentFields_last,quantLinkFields_last,quantSeeFields_last,quantTypes_last,quantTypesDeprecated_last,perc_quantTypesDeprecated_last ,quantTypesDeprecatedAnnotation_last,quantTypesDeprecatedJavaDoc_last,quantTypesDeprecatedWithRelMessage_last,perc_quantTypesDeprecatedWithRelMessage_last,quantUserTypes_last,quantReplaceTypes_last,quantReferTypes_last,quantEquivalentTypes_last,quantLinkTypes_last,quantSeeTypes_last,quantMethods_last,quantMethodsDeprecated_last,perc_quantMethodsDeprecated_last,quantMethodsDeprecatedAnnotation_last,quantMethodsDeprecatedJavaDoc_last,quantMethodsDeprecatedWithRelMessage_last,perc_quantMethodsDeprecatedWithRelMessage_last,quantUserMethods_last,quantReplaceMethods_last,quantReferMethods_last,quantEquivalentMethods_last,quantLinkMethods_last,quantSeeMethods_last,quantElements_last,quantElementsDeprecated_last,perc_quantElementsDeprecated_last,quantElementsDeprecatedAnnotation_last,quantElementsDeprecatedJavaDoc_last,quantElementsDeprecatedWithRelMessage_last,perc_quantElementsDeprecatedWithRelMessage_last,quantUserElements_last,quantReplaceElements_last,quantReferElements_last,quantEquivalenElements_last,quantLinkElements_last,quantSeeElements_last,curve,category,category2
iosched,iosched,git://github.com/google/iosched.git,7720,961,25,2974,24439,3,1012,2,933,311,128,40.48,221.28,1101,0,0,0,0,0,0,0,0,0,0,0,0,728,0,0,0,0,0,0,0,0,0,0,0,0,3703,8,0.2160410478,5,8,8,100,8,0,0,0,8,0,5532,8,0.1446131598,5,8,8,100,8,0,0,0,8,0,stable,Application,Non-library
muzei,muzei,git://github.com/romannurik/muzei.git,1874,155,8,464,15815,8,335,3,560,70,195,41875,161.75,170,0,0,0,0,0,0,0,0,0,0,0,0,161,5,3.1055900621,5,5,5,100,5,0,0,0,5,0,963,0,0,0,0,0,0,0,0,0,0,0,0,1294,5,0.3863987635,5,5,5,100,5,0,0,0,5,0,stable,Application,Non-library
k-9,k-9,git://github.com/k9mail/k-9.git,2018,274,200,1239,84435,329,1249,37,2488,7.5623100304,5740,6245,34.3,858,3,0.3496503497,1,3,2,66.6666666667,2,0,0,0,2,0,609,2,0.328407225,2,1,0,0,0,0,0,0,0,0,5393,13,0.2410532171,1,12,12,92.3076923077,1,0,0,0,11,0,6860,18,0.2623906706,4,16,14,77.7777777778,3,0,0,0,13,0,oscillatory,Application,Non-library
actor-platform,actor-platform,git://github.com/actorapp/actor-platform.git,1826,132,13,266,258198,35,3540,2,308,8.8,3115,272.3076923077,921.1538461538,648,0,0,0,0,0,0,0,0,0,0,0,0,1472,3,0.2038043478,3,0,0,0,0,0,0,0,0,0,9855,20,0.2029426687,6,14,14,70,13,0,4,0,6,0,11975,23,0.1920668058,9,14,14,60.8695652174,13,0,4,0,6,0,stable,Application,Non-library
Android-PullToRefresh,Android-PullToRefresh,git://github.com/chrisbanes/Android-PullToRefresh.git,5435,895,21,3760,4277,24,128,3,431,17.9583333333,477,6.0952380952,25,46,2,4.347826087,0,2,2,100,2,0,0,0,2,0,66,0,0,0,0,0,0,0,0,0,0,0,0,413,12,2.9055690073,0,12,12,100,1,0,0,0,11,0,525,14,2.6666666667,0,14,14,100,3,0,0,0,13,0,increase,Non-web libraries and frameworks,Library
picasso,picasso,git://github.com/square/picasso.git,6948,648,58,1935,18355,20,166,60,891,44.55,861,2.8620689655,23.5172413793,272,0,0,0,0,0,0,0,0,0,0,0,0,111,0,0,0,0,0,0,0,0,0,0,0,0,981,10,1.0193679918,10,10,10,100,10,0,0,0,10,0,1364,10,0.7331378299,10,10,10,100,10,0,0,0,10,0,increase,Non-web libraries and frameworks,Library
android-volley,android-volley,git://github.com/mcxiaoke/android-volley.git,2361,274,26,947,1971,19,98,2,1018,53.5789473684,1919,3.7692307692,28.9230769231,68,0,0,0,0,0,0,0,0,0,0,0,0,115,0,0,0,0,0,0,0,0,0,0,0,0,569,8,1.4059753954,5,8,8,100,8,0,0,0,8,0,752,8,1.0638297872,5,8,8,100,8,0,0,0,8,0,stable,Non-web libraries and frameworks,Library
zxing,zxing,git://github.com/zxing/zxing.git,5827,769,42,3709,272514,17,3013,4,2858,168.1176470588,3140,71.7380952381,85.2619047619,226,0,0,0,0,0,0,0,0,0,0,0,0,497,0,0,0,0,0,0,0,0,0,0,0,0,2858,5,0.1749475157,5,5,5,100,4,1,0,0,4,0,3581,5,0.1396258028,5,5,5,100,4,1,0,0,4,0,increase,Non-web libraries and frameworks,Library
guice,guice,git://github.com/google/guice.git,2076,241,18,355,63618,23,691,4,3240,140.8695652174,1442,38.3888888889,518.1111111111,833,0,0,0,0,0,0,0,0,0,0,0,0,1612,3,0.1861042184,3,3,3,100,3,0,1,0,3,0,6881,2,0.0290655428,2,2,2,100,2,0,0,0,2,0,9326,5,0.0536135535,5,5,5,100,5,0,1,0,5,0,increase,Non-web libraries and frameworks,Library
facebook-android-sdk,facebook-android-sdk,git://github.com/facebook/facebook-android-sdk.git,3408,458,28,2019,20215,42,686,4,1919,45.6904761905,535,24.5,172.4642857143,650,0,0,0,0,0,0,0,0,0,0,0,0,457,0,0,0,0,0,0,0,0,0,0,0,0,3722,3,0.080601827,3,3,3,100,3,0,0,0,0,0,4829,3,0.0621246635,3,3,3,100,3,0,0,0,0,0,oscillatory,Non-web libraries and frameworks,Library
Bolts-Android,Bolts-Android,git://github.com/BoltsFramework/Bolts-Android.git,1979,170,12,281,1005,8,45,4,562,70.25,137,3.75,33.6666666667,16,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,361,2,0.5540166205,2,2,2,100,2,0,0,0,2,0,404,2,0.495049505,2,2,2,100,2,0,0,0,2,0,increase,Non-web libraries and frameworks,Library
androidquery,androidquery,git://github.com/androidquery/androidquery.git,1769,218,6,576,17080,21,274,3,1048,49.9047619048,692,45.6666666667,279.6666666667,182,0,0,0,0,0,0,0,0,0,0,0,0,101,0,0,0,0,0,0,0,0,0,0,0,0,1395,2,0.1433691756,2,2,2,100,0,2,0,0,2,0,1678,2,0.1191895113,2,2,2,100,0,2,0,0,2,0,increase,Non-web libraries and frameworks,Library
h2o-2,h2o-2,git://github.com/h2oai/h2o-2.git,1768,368,47,425,774634,324,3690,119,856,2.6419753086,16169,78.5106382979,310.7659574468,3772,0,0,0,0,0,0,0,0,0,0,0,0,1423,0,0,0,0,0,0,0,0,0,0,0,0,9411,2,0.0212517267,2,2,2,100,2,0,0,0,2,0,14606,2,0.0136930029,2,2,2,100,2,0,0,0,2,0,increase,Non-web libraries and frameworks,Library
Calligraphy,Calligraphy,git://github.com/chrisjenx/Calligraphy.git,2386,139,24,308,2537,4,57,8,573,143.25,241,2375,4.9583333333,3,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,98,1,1.0204081633,1,1,1,100,1,0,0,0,1,0,119,1,0.8403361345,1,1,1,100,1,0,0,0,1,0,increase,Non-web libraries and frameworks,Library
ListViewAnimations,ListViewAnimations,git://github.com/nhaarman/ListViewAnimations.git,4082,428,14,1474,23973,25,191,7,755,30.2,608,13.6428571429,60.9285714286,15,0,0,0,0,0,0,0,0,0,0,0,0,124,0,0,0,0,0,0,0,0,0,0,0,0,714,1,0.1400560224,1,1,1,100,1,0,0,0,1,0,853,1,0.1172332943,1,1,1,100,1,0,0,0,1,0,increase,Non-web libraries and frameworks,Library
jsoup,jsoup,git://github.com/jhy/jsoup.git,2133,216,40,728,5010,28,108,2,2023,72.25,852,2.7,48775,57,0,0,0,0,0,0,0,0,0,0,0,0,151,0,0,0,0,0,0,0,0,0,0,0,0,1743,1,0.0573723465,0,1,1,100,1,0,0,0,1,0,1951,1,0.0512557663,0,1,1,100,1,0,0,0,1,0,increase,Non-web libraries and frameworks,Library
jna,jna,git://github.com/java-native-access/jna.git,1838,197,67,532,226232,36,1393,9,6167,171.3055555556,2783,20.7910447761,273.6567164179,11253,0,0,0,0,0,0,0,0,0,0,0,0,1306,0,0,0,0,0,0,0,0,0,0,0,0,5776,10,0.1731301939,2,10,9,90,7,0,2,0,8,0,18335,10,0.0545404963,2,10,9,90,7,0,2,0,8,0,oscillatory,Non-web libraries and frameworks,Library
fresco,fresco,git://github.com/facebook/fresco.git,5726,582,13,1521,15026,10,647,3,137,13.7,308,49.7692307692,394,393,0,0,0,0,0,0,0,0,0,0,0,0,557,0,0,0,0,0,0,0,0,0,0,0,0,4172,5,0.1198465964,5,5,4,80,4,0,0,0,4,0,5122,5,0.0976181179,5,5,4,80,4,0,0,0,4,0,stable,Non-web libraries and frameworks,Library
junit,junit,git://github.com/junit-team/junit.git,3822,479,200,1546,29350,20,482,7,5363,268.15,2066,2.41,25705,325,0,0,0,0,0,0,0,0,0,0,0,0,1047,16,1.5281757402,16,14,13,81.25,13,0,0,0,10,0,3769,43,1.1408861767,43,37,33,76.7441860465,32,1,0,0,22,4,5141,59,1.1476366466,59,51,46,77.9661016949,45,1,0,0,32,4,oscillatory,Non-web libraries and frameworks,Library
libgdx,libgdx,git://github.com/libgdx/libgdx.git,6839,918,400,4051,1008836,29,4384,2,1994,68.7586206897,11463,10.96,121425,8458,4,0.0472925041,3,3,3,75,1,2,0,0,2,0,2657,3,0.1129092962,2,3,1,33.3333333333,1,0,0,0,0,0,37455,20,0.0533974102,5,19,17,85,9,0,0,0,7,8,48570,27,0.0555898703,10,25,21,77.7777777778,11,2,0,0,9,8,oscillatory,Non-web libraries and frameworks,Library
MaterialEditText,MaterialEditText,git://github.com/rengwuxian/MaterialEditText.git,1948,126,13,397,2174,19,70,2,217,11.4210526316,227,5.3846153846,34.6923076923,34,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,405,9,2.2222222222,9,6,6,66.6666666667,6,0,0,0,0,0,451,9,1.9955654102,9,6,6,66.6666666667,6,0,0,0,0,0,increase,Non-web libraries and frameworks,Library
stetho,stetho,git://github.com/facebook/stetho.git,3088,183,20,255,3482,4,262,4,203,50.75,263,13.1,108.4,287,0,0,0,0,0,0,0,0,0,0,0,0,385,0,0,0,0,0,0,0,0,0,0,0,0,1496,3,0.2005347594,3,2,2,66.6666666667,2,0,0,0,2,0,2168,3,0.1383763838,3,2,2,66.6666666667,2,0,0,0,2,0,increase,Non-web libraries and frameworks,Library
neo4j,neo4j,git://github.com/neo4j/neo4j.git,1885,238,200,731,482110,118,10498,17,3011,25.5169491525,33623,52.49,264455,3323,16,0.4814926271,16,8,7,43.75,0,7,0,0,0,0,6154,96,1.559961001,87,71,55,57.2916666667,49,0,0,2,42,1,43414,165,0.3800617312,148,109,104,63.0303030303,74,0,1,0,104,1,52891,277,0.5237185911,251,188,166,59.9277978339,123,7,1,2,146,2,oscillatory,Non-web libraries and frameworks,Library
