project,url,stars,whatchers,contributors,forks,size,releases,NOF,branches,duration,avgTime,commits,files_contributor,APIs_contributor ,quantFields_last,quantElements_last,quantFieldsDeprecated_last,quantFieldsDeprecatedWithRelMessage_last,quantTypes_last,quantTypesDeprecated_last,quantTypesDeprecatedWithRelMessage_last,quantMethods_last,quantMethodsDeprecated_last,quantMethodsDeprecatedWithRelMessage_last,quantElements_last,quantElementsDeprecated_last,quantElementsDeprecatedWithRelMessage_last,perc_quantElementsDeprecatedWithRelMessage_last,perc_quantElementsDeprecated_last,avgPopularity,avgSize,avgCommunity,avgActivity,avgMaturity,avgAll,category,category2
iosched,git://github.com/google/iosched.git,7720,961,25,2974,24439,3,1012,2,933,311,128,40.48,221.28,1101,5532,0,0,728,0,0,3703,8,8,5532,8,8,100,0.1446131598,2920,7227.3333333333,95.5866666667,130.88,933,2261.36,Application,Non-library
muzei,git://github.com/romannurik/muzei.git,1874,155,8,464,15815,8,335,3,560,70,195,41875,161.75,170,1294,0,0,161,5,5,963,0,0,1294,5,5,100,0.3863987635,625.25,28992.6666666667,70.5416666667,101.8125,560,6070.0541666667,Application,Non-library
k-9,git://github.com/k9mail/k-9.git,2018,274,200,1239,84435,329,1249,37,2488,7.5623100304,5740,6245,34.3,858,6860,3,2,609,2,0,5393,13,12,6860,18,14,77.7777777778,0.2623906706,932.75,89532.6666666667,80.1816666667,20.2725,2488,18610.7741666667,Application,Non-library
actor-platform,git://github.com/actorapp/actor-platform.git,1826,132,13,266,258198,35,3540,2,308,8.8,3115,272.3076923077,921.1538461538,648,11975,0,0,1472,3,0,9855,20,14,11975,23,14,60.8695652174,0.1920668058,559.25,5460,402.1538461538,596.7307692308,308,1465.2269230769,Application,Non-library
Android-PullToRefresh,git://github.com/chrisbanes/Android-PullToRefresh.git,5435,895,21,3760,4277,24,128,3,431,17.9583333333,477,6.0952380952,25,46,525,2,2,66,0,0,413,12,12,525,14,14,100,2.6666666667,2527.75,6348.6666666667,17.3650793651,15.5476190476,431,1868.0658730159,Non-web libraries and frameworks,Library
picasso,git://github.com/square/picasso.git,6948,648,58,1935,18355,20,166,60,891,44.55,861,2.8620689655,23.5172413793,272,1364,0,0,111,0,0,981,10,10,1364,10,10,100,0.7331378299,2397.25,1144.3333333333,28.1264367816,13.1896551724,891,894.7798850575,Non-web libraries and frameworks,Library
android-volley,git://github.com/mcxiaoke/android-volley.git,2361,274,26,947,1971,19,98,2,1018,53.5789473684,1919,3.7692307692,28.9230769231,68,752,0,0,115,0,0,569,8,8,752,8,8,100,1.0638297872,902,92093,19.5641025641,16.3461538462,1018,18809.7820512821,Non-web libraries and frameworks,Library
zxing,git://github.com/zxing/zxing.git,5827,769,42,3709,272514,17,3013,4,2858,168.1176470588,3140,71.7380952381,85.2619047619,226,3581,0,0,497,0,0,2858,5,5,3581,5,5,100,0.1396258028,2586.75,22630,66.3333333333,78.5,2858,5643.9166666667,Non-web libraries and frameworks,Library
guice,git://github.com/google/guice.git,2076,241,18,355,63618,23,691,4,3240,140.8695652174,1442,38.3888888889,518.1111111111,833,9326,0,0,1612,3,3,6881,2,2,9326,5,5,100,0.0536135535,672.5,10075.6666666667,191.5,278.25,3240,2891.5833333333,Non-web libraries and frameworks,Library
facebook-android-sdk,git://github.com/facebook/facebook-android-sdk.git,3408,458,28,2019,20215,42,686,4,1919,45.6904761905,535,24.5,172.4642857143,650,4829,0,0,457,0,0,3722,3,3,4829,3,3,100,0.0621246635,1478.25,1959.6666666667,74.9880952381,98.4821428571,1919,1106.0773809524,Non-web libraries and frameworks,Library
Bolts-Android,git://github.com/BoltsFramework/Bolts-Android.git,1979,170,12,281,1005,8,45,4,562,70.25,137,3.75,33.6666666667,16,404,0,0,27,0,0,361,2,2,404,2,2,100,0.495049505,610.5,5919.3333333333,16.4722222222,18.7083333333,562,1425.4027777778,Non-web libraries and frameworks,Library
androidquery,git://github.com/androidquery/androidquery.git,1769,218,6,576,17080,21,274,3,1048,49.9047619048,692,45.6666666667,279.6666666667,182,1678,0,0,101,0,0,1395,2,2,1678,2,2,100,0.1191895113,642.25,260000.666666667,110.4444444444,162.6666666667,1048,52392.8055555555,Non-web libraries and frameworks,Library
h2o-2,git://github.com/h2oai/h2o-2.git,1768,368,47,425,774634,324,3690,119,856,2.6419753086,16169,78.5106382979,310.7659574468,3772,14606,0,0,1423,0,0,9411,2,2,14606,2,2,100,0.0136930029,652,5733.3333333333,145.4255319149,194.6382978723,856,1516.2794326241,Non-web libraries and frameworks,Library
Calligraphy,git://github.com/chrisjenx/Calligraphy.git,2386,139,24,308,2537,4,57,8,573,143.25,241,2375,4.9583333333,3,119,0,0,18,0,0,98,1,1,119,1,1,100,0.8403361345,714.25,8094.3333333333,10.4444444444,3.6666666667,573,1879.1388888889,Non-web libraries and frameworks,Library
ListViewAnimations,git://github.com/nhaarman/ListViewAnimations.git,4082,428,14,1474,23973,25,191,7,755,30.2,608,13.6428571429,60.9285714286,15,853,0,0,124,0,0,714,1,1,853,1,1,100,0.1172332943,1499.5,1990.3333333333,29.5238095238,37.2857142857,755,862.3285714286,Non-web libraries and frameworks,Library
jsoup,git://github.com/jhy/jsoup.git,2133,216,40,728,5010,28,108,2,2023,72.25,852,2.7,48775,57,1951,0,0,151,0,0,1743,1,1,1951,1,1,100,0.0512557663,779.25,76525.3333333333,30.4916666667,25.7375,2023,15876.7625,Non-web libraries and frameworks,Library
jna,git://github.com/java-native-access/jna.git,1838,197,67,532,226232,36,1393,9,6167,171.3055555556,2783,20.7910447761,273.6567164179,11253,18335,0,0,1306,0,0,5776,10,9,18335,10,9,90,0.0545404963,658.5,11336,120.4825870647,147.223880597,6167,3685.8412935323,Non-web libraries and frameworks,Library
fresco,git://github.com/facebook/fresco.git,5726,582,13,1521,15026,10,647,3,137,13.7,308,49.7692307692,394,393,5122,0,0,557,0,0,4172,5,4,5122,5,4,80,0.0976181179,1960.5,11651.3333333333,152.2564102564,221.8846153846,137,2824.5948717949,Non-web libraries and frameworks,Library
junit,git://github.com/junit-team/junit.git,3822,479,200,1546,29350,20,482,7,5363,268.15,2066,2.41,25705,325,5141,0,0,1047,16,13,3769,43,33,5141,59,46,77.9661016949,1.1476366466,1511.75,339453.666666667,76.0383333333,14.0575,5363,69283.7025,Non-web libraries and frameworks,Library
libgdx,git://github.com/libgdx/libgdx.git,6839,918,400,4051,1008836,29,4384,2,1994,68.7586206897,11463,10.96,121425,8458,48570,4,3,2657,3,1,37455,20,17,48570,27,21,77.7777777778,0.0555898703,3052,16938,177.4616666667,66.1925,1994,4445.5308333333,Non-web libraries and frameworks,Library
MaterialEditText,git://github.com/rengwuxian/MaterialEditText.git,1948,126,13,397,2174,19,70,2,217,11.4210526316,227,5.3846153846,34.6923076923,34,451,0,0,12,0,0,405,9,6,451,9,6,66.6666666667,1.9955654102,621,1398.3333333333,17.6923076923,20.0384615385,217,454.8128205128,Non-web libraries and frameworks,Library
stetho,git://github.com/facebook/stetho.git,3088,183,20,255,3482,4,262,4,203,50.75,263,13.1,108.4,287,2168,0,0,385,0,0,1496,3,2,2168,3,2,66.6666666667,0.1383763838,886.5,164925.333333333,47.1666666667,60.75,203,33224.55,Non-web libraries and frameworks,Library
neo4j,git://github.com/neo4j/neo4j.git,1885,238,200,731,482110,118,10498,17,3011,25.5169491525,33623,52.49,264455,3323,52891,16,7,6154,96,55,43414,165,104,52891,277,166,59.9277978339,0.5237185911,763.5,54587,172315,158.4725,3011,11738.4575,Non-web libraries and frameworks,Library
guava,git://github.com/google/guava.git,4438,551,31,962,109067,56,1803,6,2253,40.2321428571,2994,58.1612903226,1402.7419354839,2354,43485,0,0,3947,8,8,37184,142,77,43485,150,85,56.6666666667,0.3449465333,1495.5,15983,497.3010752688,730.4516129032,2253,4191.8505376344,Non-web libraries and frameworks,Library
acra,git://github.com/ACRA/acra.git,2170,254,29,625,4388,15,76,9,1931,128.7333333333,606,2.6206896552,18.7931034483,62,545,0,0,61,0,0,422,2,1,545,2,1,50,0.3669724771,769.5,8961.3333333333,16.8045977011,10.7068965517,1931,2337.8689655173,Non-web libraries and frameworks,Library
dubbo,git://github.com/alibaba/dubbo.git,2179,714,10,2283,24647,42,1692,5,1259,29.9761904762,1799,169.2,1307.1,1447,13071,1,0,1467,3,1,10157,73,34,13071,77,35,45.4545454545,0.5890903527,1296.5,557047.333333333,495.4333333333,738.15,1259,112167.283333333,Non-web libraries and frameworks,Library
processing,git://github.com/processing/processing.git,2009,282,70,589,1657048,441,1023,2,5139,11.6530612245,10943,14.6142857143,171.9285714286,3407,12035,8,4,424,0,0,8204,13,5,12035,21,9,42.8571428571,0.1744910677,737.5,99461.3333333333,85.5142857143,93.2714285714,5139,21103.3238095238,Non-web libraries and frameworks,Library
gocd,git://github.com/gocd/gocd.git,1712,133,53,293,269579,5,16770,3,617,123.4,2401,316.4150943396,651.0754716981,2361,34507,1,1,3444,9,5,28702,111,37,34507,121,43,35.5371900826,0.3506534906,547.75,18612.3333333333,340.1635220126,483.7452830189,617,4120.198427673,Non-web libraries and frameworks,Library
MaterialDrawer,git://github.com/mikepenz/MaterialDrawer.git,2316,153,21,380,21150,62,180,6,524,8.4516129032,970,8.5714285714,53.2857142857,153,1119,0,0,100,0,0,866,3,1,1119,3,1,33.3333333333,0.2680965147,717.5,5700,27.619047619,30.9285714286,524,1400.0095238095,Non-web libraries and frameworks,Library
