project,rm,ed,category
iosched,100,0.1446131598,Application
muzei,100,0.3863987635,Application
k-9,77.7777777778,0.2623906706,Application
actor-platform,60.8695652174,0.1920668058,Application
Android-PullToRefresh,100,2.6666666667,Non-web libraries and frameworks
picasso,100,0.7331378299,Non-web libraries and frameworks
android-volley,100,1.0638297872,Non-web libraries and frameworks
zxing,100,0.1396258028,Non-web libraries and frameworks
guice,100,0.0536135535,Non-web libraries and frameworks
facebook-android-sdk,100,0.0621246635,Non-web libraries and frameworks
Bolts-Android,100,0.495049505,Non-web libraries and frameworks
androidquery,100,0.1191895113,Non-web libraries and frameworks
h2o-2,100,0.0136930029,Non-web libraries and frameworks
Calligraphy,100,0.8403361345,Non-web libraries and frameworks
ListViewAnimations,100,0.1172332943,Non-web libraries and frameworks
jsoup,100,0.0512557663,Non-web libraries and frameworks
jna,90,0.0545404963,Non-web libraries and frameworks
fresco,80,0.0976181179,Non-web libraries and frameworks
junit,77.9661016949,1.1476366466,Non-web libraries and frameworks
libgdx,77.7777777778,0.0555898703,Non-web libraries and frameworks
MaterialEditText,66.6666666667,1.9955654102,Non-web libraries and frameworks
stetho,66.6666666667,0.1383763838,Non-web libraries and frameworks
neo4j,59.9277978339,0.5237185911,Non-web libraries and frameworks
guava,56.6666666667,0.3449465333,Non-web libraries and frameworks
acra,50,0.3669724771,Non-web libraries and frameworks
dubbo,45.4545454545,0.5890903527,Non-web libraries and frameworks
processing,42.8571428571,0.1744910677,Non-web libraries and frameworks
gocd,35.5371900826,0.3506534906,Non-web libraries and frameworks
MaterialDrawer,33.3333333333,0.2680965147,Non-web libraries and frameworks
HikariCP,33.3333333333,0.2590673575,Non-web libraries and frameworks
robospice,25,0.1707212975,Non-web libraries and frameworks
roboguice,16.1290322581,0.295041401,Non-web libraries and frameworks
HoloEverywhere,14.8148148148,0.3751041956,Non-web libraries and frameworks
PhotoView,14.2857142857,6.2874251497,Non-web libraries and frameworks
UltimateRecyclerView,8.3333333333,0.5578800558,Non-web libraries and frameworks
druid,5,0.1394505648,Non-web libraries and frameworks
netty,64.9635036496,0.5850950246,Software tools
spring-boot,55.8139534884,0.2470554438,Software tools
OpenRefine,25,0.2346958733,Software tools
Hystrix,14.2857142857,1.05,Software tools
RxJava,100,0.0446229362,System Software
j2objc,75.1269035533,0.4148329087,System Software
gradle,67.1428571429,0.1762291987,System Software
atmosphere,53.3333333333,0.2379819134,System Software
orientdb,14.1592920354,0.3906520086,System Software
kotlin,93.75,0.0601582915,System Software
cassandra,9.3457943925,0.3046697039,System Software
titan,9.0909090909,0.1019273536,System Software
glide,100,0.1553096486,Web libraries and frameworks
okhttp,75,0.0805477245,Web libraries and frameworks
spring-framework,68.7116564417,0.2280613387,Web libraries and frameworks
commons-io,100,1.7792421746,Non-web libraries and frameworks
Koloboke,100,1.3157894737,Non-web libraries and frameworks
parseq,100,1.4103129132,Web libraries and frameworks
commons-lang,100,0.4556457354,Non-web libraries and frameworks
zt-exec,100,4.9145299145,Non-web libraries and frameworks
WeatherLib,100,2.7510316369,Non-web libraries and frameworks
truth,100,1.6488046167,Non-web libraries and frameworks
jogl,100,0.0748755194,Non-web libraries and frameworks
StartupNews,100,1.4349775785,Non-web libraries and frameworks
chipKIT32-MAX,100,0.194009943,Software tools
raven-java,100,1.5889830508,Software tools
minimal-json,100,1.5321756895,Non-web libraries and frameworks
jgit,100,0.0894241087,Non-web libraries and frameworks
Android-Universal-Image-Loader,100,1.297497683,Non-web libraries and frameworks
quickblox-android-sdk,100,0.60949064,Application
jgraphx,100,0.2446696959,Non-web libraries and frameworks
adblockplusandroid,100,0.8727272727,Application
Carbon,100,0.5876591577,Non-web libraries and frameworks
mcpatcher,100,0.367278798,Application
spring-batch,100,0.0796235975,Non-web libraries and frameworks
overthere,100,0.664893617,Non-web libraries and frameworks
CrossBow,100,0.5788712012,Web libraries and frameworks
javaewah,100,0.5772005772,Non-web libraries and frameworks
zoie,100,0.4664723032,System Software
ideavim,100,0.2275312856,Software tools
jcabi-aspects,100,1.7587939698,Non-web libraries and frameworks
webmagic,100,0.4968062456,Web libraries and frameworks
osmdroid,100,0.285986654,Non-web libraries and frameworks
elephant-bird,100,0.2276176024,Non-web libraries and frameworks
nifty,100,0.2265861027,Non-web libraries and frameworks
bobo,100,0.1973684211,System Software
st-js,100,0.1332149201,Software tools
android-maven-plugin,100,0.105969622,Software tools
logback,100,0.0647948164,Non-web libraries and frameworks
GLWallpaperService,100,3.164556962,Non-web libraries and frameworks
CLAVIN,100,1.179245283,Non-web libraries and frameworks
Yaaic,100,0.4306632214,Application
feign,100,0.3974562798,Web libraries and frameworks
NotePad,100,0.140016802,Application
xssValidator,100,1.0752688172,Application
photup,100,0.3619909502,Application
red5-server,100,0.3025718608,System Software
selendroid,100,0.1159756451,Non-web libraries and frameworks
jbox2d,100,0.0825763832,Non-web libraries and frameworks
caffeine,100,0.0749765698,Non-web libraries and frameworks
functionaljava,100,0.0585137507,Non-web libraries and frameworks
spring-security,100,0.0365030115,Non-web libraries and frameworks
Jnario,100,0.0101281207,Non-web libraries and frameworks
ErrorView,100,2.9702970297,Non-web libraries and frameworks
tape,100,1.2244897959,Non-web libraries and frameworks
java-apns,100,0.3778337531,Web libraries and frameworks
karyon,100,0.2544529262,Non-web libraries and frameworks
asynchbase,100,0.253164557,Non-web libraries and frameworks
parboiled,100,0.1087744743,Software tools
spock,100,0.0949667616,Non-web libraries and frameworks
Android-Next,100,0.0850822462,Non-web libraries and frameworks
jolokia,100,0.0798934754,Web libraries and frameworks
httl,100,0.0759301443,Software tools
twitter4j,100,0.0574272588,Non-web libraries and frameworks
carrot2,100,0.0500166722,Application
fabric8,100,0.0338104362,Application
FBReaderJ,100,0.0294840295,Application
telescope,100,1.6666666667,Application
play-pac4j,100,1.5503875969,Web libraries and frameworks
WizarDroid,100,1.2903225806,Non-web libraries and frameworks
spring-elasticsearch,100,1.0695187166,Non-web libraries and frameworks
hibernate-memcached,100,0.7299270073,Non-web libraries and frameworks
restcountries,100,0.7272727273,Non-web libraries and frameworks
snappy,100,0.5934718101,Non-web libraries and frameworks
changeloglib,100,0.4201680672,Non-web libraries and frameworks
obd-java-api,100,0.4081632653,Non-web libraries and frameworks
spring,100,0.3984063745,Non-web libraries and frameworks
fixture-factory,100,0.296735905,Software tools
java-api-wrapper,100,0.2808988764,Non-web libraries and frameworks
elasticsearch-jdbc,100,0.1766784452,Non-web libraries and frameworks
simpletask-android,100,0.1540832049,Application
spring-data-document-examples,100,0.1447178003,Application
hppc,100,0.1422475107,Non-web libraries and frameworks
cloudhopper-smpp,100,0.105764146,Non-web libraries and frameworks
memcached-session-manager,100,0.085106383,Software tools
java,100,0.0847816872,Non-web libraries and frameworks
android-bankdroid,100,0.08399832,Application
mapbox-android-sdk,100,0.0781555295,System Software
java-memcached-client,100,0.0707213579,Non-web libraries and frameworks
swift,100,0.0625978091,Non-web libraries and frameworks
ChatSecureAndroid,100,0.0416406413,Application
todo.txt-android,100,0.0406834825,Application
live-chat-engine,100,0.0365831352,Application
facebook4j,100,0.035118525,Non-web libraries and frameworks
android-sqlite-asset-helper,100,2.1276595745,Software tools
audio-wife,100,1.5873015873,Non-web libraries and frameworks
GoogleAuth,100,1.2820512821,Non-web libraries and frameworks
MaterialSpinner,100,1.2048192771,Application
